target_chembl_id,target_name,molecule_chembl_id,activity_type,activity_value,activity_units
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL281470,IC50,725000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL13462,IC50,4000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL414123,IC50,15000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL413629,IC50,1800.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL301845,IC50,15000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL58478,IC50,1700.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL298813,IC50,1600.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL293803,IC50,4900.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL294692,IC50,1200.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL294420,IC50,1200.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL299477,IC50,7900.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL57393,IC50,14000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL58421,IC50,22000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL56697,IC50,22000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL328907,IC50,15300.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL2092743,IC50,100000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL541307,IC50,100000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL538757,IC50,100000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL538507,IC50,100000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL552859,IC50,100000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL544074,IC50,100000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL545006,IC50,100000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL542891,IC50,100000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL544538,IC50,100000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL80030,IC50,50000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL44,IC50,10000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL543361,IC50,50000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL151546,IC50,60000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL78249,IC50,100000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL543362,IC50,100000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL544770,IC50,100000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL542893,IC50,100000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL540292,IC50,50000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL544067,IC50,100000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL468975,IC50,100000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL542887,IC50,50000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL552634,IC50,70000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL552860,IC50,100000.0,nM
CHEMBL1862,Tyrosine-protein kinase ABL,CHEMBL310580,IC50,50000.0,nM
