drug_id,target_id,label
CHEMBL281470,CHEMBL1862,0
CHEMBL13462,CHEMBL1862,0
CHEMBL414123,CHEMBL1862,0
CHEMBL413629,CHEMBL1862,0
CHEMBL301845,CHEMBL1862,0
CHEMBL58478,CHEMBL1862,0
CHEMBL298813,CHEMBL1862,0
CHEMBL293803,CHEMBL1862,0
CHEMBL294692,CHEMBL1862,0
CHEMBL294420,CHEMBL1862,0
CHEMBL299477,CHEMBL1862,0
CHEMBL57393,CHEMBL1862,0
CHEMBL58421,CHEMBL1862,0
CHEMBL56697,CHEMBL1862,0
CHEMBL328907,CHEMBL1862,0
CHEMBL2092743,CHEMBL1862,0
CHEMBL541307,CHEMBL1862,0
CHEMBL538757,CHEMBL1862,0
CHEMBL538507,CHEMBL1862,0
CHEMBL552859,CHEMBL1862,0
CHEMBL544074,CHEMBL1862,0
CHEMBL545006,CHEMBL1862,0
CHEMBL542891,CHEMBL1862,0
CHEMBL544538,CHEMBL1862,0
CHEMBL80030,CHEMBL1862,0
CHEMBL44,CHEMBL1862,0
CHEMBL543361,CHEMBL1862,0
CHEMBL151546,CHEMBL1862,0
CHEMBL78249,CHEMBL1862,0
CHEMBL543362,CHEMBL1862,0
CHEMBL544770,CHEMBL1862,0
CHEMBL542893,CHEMBL1862,0
CHEMBL540292,CHEMBL1862,0
CHEMBL544067,CHEMBL1862,0
CHEMBL468975,CHEMBL1862,0
CHEMBL542887,CHEMBL1862,0
CHEMBL552634,CHEMBL1862,0
CHEMBL552860,CHEMBL1862,0
CHEMBL310580,CHEMBL1862,0
CHEMBL325023,CHEMBL1862,0
CHEMBL60816,CHEMBL1862,0
CHEMBL20867,CHEMBL1862,1
CHEMBL941,CHEMBL1862,1
CHEMBL57581,CHEMBL1862,0
CHEMBL21162,CHEMBL1862,1
CHEMBL300817,CHEMBL1862,0
CHEMBL277931,CHEMBL1862,1
CHEMBL57556,CHEMBL1862,0
CHEMBL20252,CHEMBL1862,1
CHEMBL423288,CHEMBL1862,0
CHEMBL418279,CHEMBL1862,1
CHEMBL55683,CHEMBL1862,0
CHEMBL59099,CHEMBL1862,1
CHEMBL57443,CHEMBL1862,1
CHEMBL56669,CHEMBL1862,1
CHEMBL58436,CHEMBL1862,0
CHEMBL59036,CHEMBL1862,0
CHEMBL299707,CHEMBL1862,0
CHEMBL291963,CHEMBL1862,0
CHEMBL292866,CHEMBL1862,0
CHEMBL56671,CHEMBL1862,0
CHEMBL55379,CHEMBL1862,1
CHEMBL55742,CHEMBL1862,0
CHEMBL56904,CHEMBL1862,1
CHEMBL418270,CHEMBL1862,1
CHEMBL293991,CHEMBL1862,1
CHEMBL418010,CHEMBL1862,1
CHEMBL56359,CHEMBL1862,1
CHEMBL20926,CHEMBL1862,1
CHEMBL278103,CHEMBL1862,0
CHEMBL57690,CHEMBL1862,0
CHEMBL55662,CHEMBL1862,0
CHEMBL55592,CHEMBL1862,1
CHEMBL57553,CHEMBL1862,1
CHEMBL56081,CHEMBL1862,0
CHEMBL58142,CHEMBL1862,1
CHEMBL58580,CHEMBL1862,0
CHEMBL332612,CHEMBL1862,0
CHEMBL118904,CHEMBL1862,0
CHEMBL332333,CHEMBL1862,0
CHEMBL332882,CHEMBL1862,0
CHEMBL120979,CHEMBL1862,0
CHEMBL122243,CHEMBL1862,0
CHEMBL122245,CHEMBL1862,0
CHEMBL153843,CHEMBL1862,0
CHEMBL332765,CHEMBL1862,0
CHEMBL121796,CHEMBL1862,0
CHEMBL121190,CHEMBL1862,1
CHEMBL331906,CHEMBL1862,1
CHEMBL332906,CHEMBL1862,0
CHEMBL122068,CHEMBL1862,1
CHEMBL333231,CHEMBL1862,0
CHEMBL332971,CHEMBL1862,0
CHEMBL120703,CHEMBL1862,0
CHEMBL123189,CHEMBL1862,0
CHEMBL420885,CHEMBL1862,0
CHEMBL334026,CHEMBL1862,0
CHEMBL333038,CHEMBL1862,0
CHEMBL119982,CHEMBL1862,0
CHEMBL120319,CHEMBL1862,0
CHEMBL121260,CHEMBL1862,0
CHEMBL121954,CHEMBL1862,1
CHEMBL24828,CHEMBL1862,1
CHEMBL276711,CHEMBL1862,0
CHEMBL122411,CHEMBL1862,0
CHEMBL29197,CHEMBL1862,1
CHEMBL75232,CHEMBL1862,0
CHEMBL122182,CHEMBL1862,1
CHEMBL347537,CHEMBL1862,0
CHEMBL120069,CHEMBL1862,0
CHEMBL119977,CHEMBL1862,0
CHEMBL118130,CHEMBL1862,1
CHEMBL2111784,CHEMBL1862,0
CHEMBL343050,CHEMBL1862,0
CHEMBL137653,CHEMBL1862,0
CHEMBL120185,CHEMBL1862,0
CHEMBL121405,CHEMBL1862,0
CHEMBL327958,CHEMBL1862,0
CHEMBL137706,CHEMBL1862,0
CHEMBL405059,CHEMBL1862,0
CHEMBL118258,CHEMBL1862,0
CHEMBL421929,CHEMBL1862,0
CHEMBL136289,CHEMBL1862,0
CHEMBL539942,CHEMBL1862,0
CHEMBL185775,CHEMBL1862,1
CHEMBL68920,CHEMBL1824,1
CHEMBL69960,CHEMBL1824,1
CHEMBL67057,CHEMBL1824,1
CHEMBL65848,CHEMBL1824,0
CHEMBL69629,CHEMBL1824,1
CHEMBL66570,CHEMBL1824,1
CHEMBL305194,CHEMBL1824,0
CHEMBL67003,CHEMBL1824,1
CHEMBL305246,CHEMBL1824,1
CHEMBL69966,CHEMBL1824,1
CHEMBL69358,CHEMBL1824,1
CHEMBL69071,CHEMBL1824,1
CHEMBL264382,CHEMBL1824,1
CHEMBL136058,CHEMBL1824,1
CHEMBL939,CHEMBL1824,0
CHEMBL95320,CHEMBL1824,0
CHEMBL545315,CHEMBL1824,1
CHEMBL434827,CHEMBL1824,1
CHEMBL31965,CHEMBL1824,1
CHEMBL138940,CHEMBL1824,1
CHEMBL95774,CHEMBL1824,0
CHEMBL553,CHEMBL1824,0
CHEMBL334801,CHEMBL1824,1
CHEMBL99024,CHEMBL1824,0
CHEMBL140561,CHEMBL1824,1
CHEMBL342828,CHEMBL1824,1
CHEMBL345109,CHEMBL1824,1
CHEMBL607707,CHEMBL1824,0
CHEMBL125401,CHEMBL1824,0
CHEMBL300936,CHEMBL1824,0
CHEMBL428690,CHEMBL1824,0
CHEMBL14932,CHEMBL1824,1
CHEMBL15346,CHEMBL1824,1
CHEMBL15202,CHEMBL1824,1
CHEMBL554,CHEMBL1824,1
CHEMBL14627,CHEMBL1824,1
CHEMBL460731,CHEMBL1824,1
CHEMBL514436,CHEMBL1824,1
CHEMBL14952,CHEMBL1824,1
CHEMBL273789,CHEMBL1824,1
CHEMBL517907,CHEMBL1824,1
CHEMBL460732,CHEMBL1824,1
CHEMBL540701,CHEMBL1824,1
CHEMBL493428,CHEMBL1824,1
CHEMBL14874,CHEMBL1824,0
CHEMBL160846,CHEMBL1824,1
CHEMBL422347,CHEMBL1824,1
CHEMBL160303,CHEMBL1824,1
CHEMBL269620,CHEMBL1824,1
CHEMBL155761,CHEMBL1824,1
CHEMBL157084,CHEMBL1824,1
CHEMBL55993,CHEMBL1824,0
CHEMBL55360,CHEMBL1824,0
CHEMBL56731,CHEMBL1824,0
CHEMBL333454,CHEMBL1824,0
CHEMBL122522,CHEMBL1824,0
CHEMBL56219,CHEMBL1824,0
CHEMBL118205,CHEMBL1824,0
CHEMBL116595,CHEMBL1824,1
CHEMBL324030,CHEMBL1824,0
CHEMBL417941,CHEMBL1824,0
CHEMBL326100,CHEMBL1824,1
CHEMBL56542,CHEMBL1824,0
CHEMBL293749,CHEMBL1824,0
CHEMBL143212,CHEMBL1824,0
CHEMBL440298,CHEMBL1824,0
CHEMBL326318,CHEMBL1824,0
CHEMBL1161234,CHEMBL1824,0
CHEMBL281872,CHEMBL1824,0
CHEMBL116423,CHEMBL1824,0
CHEMBL56319,CHEMBL1824,0
CHEMBL53898,CHEMBL1824,0
CHEMBL56393,CHEMBL1824,0
CHEMBL1161236,CHEMBL1824,0
CHEMBL143805,CHEMBL1824,0
CHEMBL296407,CHEMBL1824,0
CHEMBL118321,CHEMBL1824,0
CHEMBL115895,CHEMBL1824,0
CHEMBL56879,CHEMBL1824,0
CHEMBL331026,CHEMBL1824,0
CHEMBL140213,CHEMBL1824,0
CHEMBL533849,CHEMBL1824,0
CHEMBL115519,CHEMBL1824,0
CHEMBL119156,CHEMBL1824,1
CHEMBL119987,CHEMBL1824,1
CHEMBL54471,CHEMBL1824,0
CHEMBL55979,CHEMBL1824,0
CHEMBL141238,CHEMBL1824,0
CHEMBL59145,CHEMBL1824,0
CHEMBL118109,CHEMBL1824,1
CHEMBL1161235,CHEMBL1824,0
CHEMBL55994,CHEMBL1824,0
CHEMBL334032,CHEMBL1824,0
CHEMBL55204,CHEMBL1824,0
CHEMBL57251,CHEMBL1824,0
CHEMBL56543,CHEMBL1824,0
CHEMBL56132,CHEMBL1824,0
CHEMBL120564,CHEMBL1824,0
CHEMBL432428,CHEMBL1824,0
CHEMBL141175,CHEMBL1824,0
CHEMBL113996,CHEMBL1824,0
CHEMBL325156,CHEMBL1824,0
CHEMBL114593,CHEMBL1824,1
CHEMBL116857,CHEMBL1824,0
CHEMBL326280,CHEMBL1824,1
CHEMBL117326,CHEMBL1824,0
CHEMBL115440,CHEMBL1824,1
CHEMBL116012,CHEMBL1824,0
CHEMBL30973,CHEMBL1824,0
CHEMBL113985,CHEMBL1824,0
CHEMBL327023,CHEMBL1824,0
CHEMBL115187,CHEMBL1824,1
CHEMBL283682,CHEMBL1824,0
CHEMBL332497,CHEMBL1824,0
CHEMBL421047,CHEMBL1824,0
CHEMBL113901,CHEMBL1824,0
CHEMBL281300,CHEMBL1824,0
CHEMBL157128,CHEMBL1824,0
CHEMBL116853,CHEMBL1824,1
CHEMBL114728,CHEMBL1824,0
CHEMBL326811,CHEMBL1824,0
CHEMBL114073,CHEMBL1824,0
CHEMBL116525,CHEMBL1824,0
CHEMBL323630,CHEMBL1824,0
CHEMBL288441,CHEMBL1824,0
CHEMBL424252,CHEMBL1824,0
CHEMBL324718,CHEMBL1824,0
CHEMBL114490,CHEMBL1824,0
CHEMBL113902,CHEMBL1824,0
CHEMBL114392,CHEMBL1824,0
CHEMBL113900,CHEMBL1824,1
CHEMBL118000,CHEMBL1824,0
CHEMBL263788,CHEMBL1824,0
CHEMBL414631,CHEMBL1824,1
CHEMBL327188,CHEMBL1824,0
CHEMBL96633,CHEMBL1824,0
CHEMBL93262,CHEMBL1824,0
CHEMBL92395,CHEMBL1824,0
CHEMBL96096,CHEMBL1824,0
CHEMBL92729,CHEMBL1824,0
CHEMBL96081,CHEMBL1824,0
CHEMBL94846,CHEMBL1824,0
CHEMBL92339,CHEMBL1824,0
CHEMBL330351,CHEMBL1824,0
CHEMBL330657,CHEMBL1824,0
CHEMBL329244,CHEMBL1824,0
CHEMBL131577,CHEMBL1824,0
CHEMBL296468,CHEMBL1824,0
CHEMBL281006,CHEMBL1824,1
CHEMBL30432,CHEMBL1824,1
CHEMBL87084,CHEMBL1824,0
CHEMBL32464,CHEMBL1824,0
CHEMBL287591,CHEMBL1824,0
CHEMBL31615,CHEMBL1824,0
CHEMBL31653,CHEMBL1824,0
CHEMBL31108,CHEMBL1824,1
CHEMBL416031,CHEMBL1824,1
CHEMBL31634,CHEMBL1820,1
CHEMBL2368961,CHEMBL1820,0
CHEMBL3143229,CHEMBL1820,0
CHEMBL2367583,CHEMBL1820,0
