Embedding_Type,Model,Validation_Accuracy,Test_Accuracy,Test_AUC,Test_Precision,Test_Recall,Test_F1_Score
ESM,Improved_GraphSAGE,0.8482714468629962,0.8117797695262484,0.8910948989635806,0.764404609475032,0.8444130127298444,0.8024193548387096
ONEHOT,Improved_GraphSAGE,0.8154911838790933,0.8022670025188917,0.8727281181057925,0.814873417721519,0.723314606741573,0.7663690476190477
ESM,MLP_Baseline,0.7215108834827144,0.6901408450704225,0.7813279072268129,0.6642120765832106,0.637906647807638,0.6507936507936508
ONEHOT,Accuracy_Optimized,0.6857682619647355,0.6857682619647355,0.7570120504335336,0.6698564593301436,0.5898876404494382,0.6273338312173263
ESM,Original_GraphSAGE,0.7221510883482715,0.677336747759283,0.7592570535249015,0.6423562412342216,0.6478076379066479,0.6450704225352113
ESM,Accuracy_Optimized,0.7240717029449424,0.6722151088348272,0.7523098174479101,0.6575121163166397,0.5756718528995757,0.6138763197586727
ONEHOT,MLP_Baseline,0.663727959697733,0.6649874055415617,0.7426688920527424,0.6446945337620579,0.5632022471910112,0.6011994002998501
ESM,Performance_Booster,0.704865556978233,0.6241997439180538,0.7535828018892115,0.5541516245487365,0.8684582743988685,0.6765840220385675
ONEHOT,Performance_Booster,0.6542821158690176,0.5919395465994962,0.5870241393463649,0.5353200883002207,0.6811797752808989,0.5995055624227441
ONEHOT,Original_GraphSAGE,0.551007556675063,0.5516372795969773,0.5037533348725052,0.0,0.0,0.0
