id,length,count_A,count_R,count_N,count_D,count_C,count_Q,count_E,count_G,count_H,count_I,count_L,count_K,count_M,count_F,count_P,count_S,count_T,count_W,count_Y,count_V,nterm_freq_A,nterm_freq_R,nterm_freq_N,nterm_freq_D,nterm_freq_C,nterm_freq_Q,nterm_freq_E,nterm_freq_G,nterm_freq_H,nterm_freq_I,nterm_freq_L,nterm_freq_K,nterm_freq_M,nterm_freq_F,nterm_freq_P,nterm_freq_S,nterm_freq_T,nterm_freq_W,nterm_freq_Y,nterm_freq_V,cterm_freq_A,cterm_freq_R,cterm_freq_N,cterm_freq_D,cterm_freq_C,cterm_freq_Q,cterm_freq_E,cterm_freq_G,cterm_freq_H,cterm_freq_I,cterm_freq_L,cterm_freq_K,cterm_freq_M,cterm_freq_F,cterm_freq_P,cterm_freq_S,cterm_freq_T,cterm_freq_W,cterm_freq_Y,cterm_freq_V,central_freq_A,central_freq_R,central_freq_N,central_freq_D,central_freq_C,central_freq_Q,central_freq_E,central_freq_G,central_freq_H,central_freq_I,central_freq_L,central_freq_K,central_freq_M,central_freq_F,central_freq_P,central_freq_S,central_freq_T,central_freq_W,central_freq_Y,central_freq_V,nterm_hydrophobic,cterm_hydrophobic,central_hydrophobic,nterm_polar,cterm_polar,central_polar,nterm_positive,cterm_positive,central_positive,nterm_negative,cterm_negative,central_negative,nterm_special,cterm_special,central_special,gradient_A,gradient_R,gradient_N,gradient_D,gradient_C,gradient_Q,gradient_E,gradient_G,gradient_H,gradient_I,gradient_L,gradient_K,gradient_M,gradient_F,gradient_P,gradient_S,gradient_T,gradient_W,gradient_Y,gradient_V
P00519|CHEMBL1862|Tyrosine-protein,1130,97,64,40,42,14,33,90,88,24,33,96,82,18,29,90,120,65,13,30,62,0.07079646017699115,0.02654867256637168,0.07079646017699115,0.035398230088495575,0.035398230088495575,0.035398230088495575,0.08849557522123894,0.08849557522123894,0.008849557522123894,0.017699115044247787,0.12389380530973451,0.07079646017699115,0.008849557522123894,0.02654867256637168,0.04424778761061947,0.11504424778761062,0.02654867256637168,0.02654867256637168,0.02654867256637168,0.05309734513274336,0.11504424778761062,0.05309734513274336,0.05309734513274336,0.035398230088495575,0.02654867256637168,0.05309734513274336,0.07079646017699115,0.04424778761061947,0.008849557522123894,0.07079646017699115,0.08849557522123894,0.05309734513274336,0.017699115044247787,0.035398230088495575,0.035398230088495575,0.11504424778761062,0.04424778761061947,0.0,0.017699115044247787,0.061946902654867256,0.084070796460177,0.06084070796460177,0.028761061946902654,0.03761061946902655,0.007743362831858407,0.025442477876106196,0.07964601769911504,0.08075221238938053,0.024336283185840708,0.025442477876106196,0.07964601769911504,0.0752212389380531,0.016592920353982302,0.024336283185840708,0.08960176991150443,0.10398230088495575,0.06305309734513274,0.011061946902654867,0.02765486725663717,0.05420353982300885,0.35398230088495575,0.40707964601769914,0.3230088495575221,0.24778761061946902,0.26548672566371684,0.22123893805309736,0.10619469026548672,0.11504424778761062,0.16039823008849557,0.12389380530973451,0.10619469026548672,0.1172566371681416,0.168141592920354,0.10619469026548672,0.17809734513274336,0.04424778761061947,0.02654867256637168,-0.017699115044247787,0.0,-0.008849557522123894,0.017699115044247787,-0.017699115044247787,-0.04424778761061947,0.0,0.05309734513274336,-0.035398230088495575,-0.017699115044247787,0.008849557522123894,0.008849557522123894,-0.008849557522123894,0.0,0.017699115044247787,-0.02654867256637168,-0.008849557522123894,0.008849557522123894
P04626|CHEMBL1824|Receptor,1255,83,71,41,65,59,62,77,101,35,44,138,39,23,35,109,73,67,15,35,83,0.08,0.056,0.056,0.048,0.024,0.088,0.04,0.064,0.024,0.024,0.192,0.008,0.024,0.016,0.056,0.032,0.056,0.008,0.032,0.072,0.096,0.04,0.04,0.048,0.008,0.048,0.064,0.088,0.008,0.0,0.064,0.032,0.0,0.04,0.216,0.04,0.056,0.008,0.04,0.064,0.06069651741293532,0.05870646766169154,0.028855721393034824,0.0527363184079602,0.05472636815920398,0.04477611940298507,0.06368159203980099,0.08159203980099503,0.030845771144278607,0.04079601990049751,0.1054726368159204,0.03383084577114428,0.01990049751243781,0.027860696517412936,0.07462686567164178,0.06368159203980099,0.0527363184079602,0.012935323383084577,0.025870646766169153,0.06567164179104477,0.448,0.312,0.3592039800995025,0.232,0.184,0.1900497512437811,0.088,0.08,0.12338308457711443,0.088,0.112,0.11641791044776119,0.144,0.312,0.2109452736318408,0.016,-0.016,-0.016,0.0,-0.016,-0.039999999999999994,0.024,0.023999999999999994,-0.016,-0.024,-0.128,0.024,-0.024,0.024,0.16,0.008,0.0,0.0,0.008,-0.007999999999999993
P06479|CHEMBL1820|Thymidine,376,46,30,8,19,3,18,14,31,12,18,40,4,13,8,31,17,28,4,12,20,0.1891891891891892,0.1891891891891892,0.02702702702702703,0.02702702702702703,0.0,0.10810810810810811,0.02702702702702703,0.05405405405405406,0.08108108108108109,0.0,0.02702702702702703,0.0,0.02702702702702703,0.02702702702702703,0.05405405405405406,0.10810810810810811,0.02702702702702703,0.0,0.02702702702702703,0.0,0.08108108108108109,0.05405405405405406,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.05405405405405406,0.05405405405405406,0.08108108108108109,0.02702702702702703,0.08108108108108109,0.10810810810810811,0.0,0.05405405405405406,0.02702702702702703,0.05405405405405406,0.05405405405405406,0.16216216216216217,0.0,0.0,0.02702702702702703,0.11920529801324503,0.0695364238410596,0.019867549668874173,0.056291390728476824,0.006622516556291391,0.039735099337748346,0.03642384105960265,0.08609271523178808,0.026490066225165563,0.04966887417218543,0.11589403973509933,0.013245033112582781,0.033112582781456956,0.019867549668874173,0.08940397350993377,0.03642384105960265,0.0695364238410596,0.013245033112582781,0.03642384105960265,0.06291390728476821,0.2972972972972973,0.3783783783783784,0.4503311258278146,0.2702702702702703,0.2972972972972973,0.16556291390728478,0.2702702702702703,0.08108108108108109,0.10927152317880795,0.05405405405405406,0.08108108108108109,0.09271523178807947,0.10810810810810811,0.16216216216216217,0.18211920529801323,-0.10810810810810811,-0.13513513513513514,0.0,0.0,0.02702702702702703,-0.05405405405405406,0.02702702702702703,0.02702702702702703,-0.05405405405405406,0.08108108108108109,0.08108108108108109,0.0,0.02702702702702703,0.0,0.0,-0.05405405405405406,0.13513513513513514,0.0,-0.02702702702702703,0.02702702702702703
P68400|CHEMBL3629|Casein,391,22,26,17,27,2,12,22,22,16,21,33,23,15,13,24,25,13,5,23,30,0.02564102564102564,0.10256410256410256,0.05128205128205128,0.10256410256410256,0.0,0.02564102564102564,0.07692307692307693,0.05128205128205128,0.05128205128205128,0.0,0.0,0.0,0.02564102564102564,0.0,0.07692307692307693,0.07692307692307693,0.05128205128205128,0.05128205128205128,0.10256410256410256,0.1282051282051282,0.20512820512820512,0.0,0.02564102564102564,0.0,0.0,0.05128205128205128,0.0,0.1282051282051282,0.0,0.05128205128205128,0.07692307692307693,0.0,0.02564102564102564,0.0,0.20512820512820512,0.1282051282051282,0.02564102564102564,0.0,0.0,0.07692307692307693,0.04153354632587859,0.07028753993610223,0.04472843450479233,0.07348242811501597,0.006389776357827476,0.02875399361022364,0.06070287539936102,0.04792332268370607,0.04472843450479233,0.06070287539936102,0.09584664536741214,0.07348242811501597,0.04153354632587859,0.04153354632587859,0.04153354632587859,0.054313099041533544,0.03194888178913738,0.009584664536741214,0.06070287539936102,0.07028753993610223,0.3333333333333333,0.4358974358974359,0.4217252396166134,0.20512820512820512,0.23076923076923078,0.1597444089456869,0.15384615384615385,0.0,0.18849840255591055,0.1794871794871795,0.0,0.134185303514377,0.1282051282051282,0.3333333333333333,0.09584664536741214,0.1794871794871795,-0.10256410256410256,-0.02564102564102564,-0.10256410256410256,0.0,0.02564102564102564,-0.07692307692307693,0.07692307692307691,-0.05128205128205128,0.05128205128205128,0.07692307692307693,0.0,0.0,0.0,0.1282051282051282,0.051282051282051266,-0.02564102564102564,-0.05128205128205128,-0.10256410256410256,-0.051282051282051266
P22392|CHEMBL2160|Nucleoside,152,8,9,5,8,2,4,12,13,4,10,11,13,5,8,7,8,4,3,4,14,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.13333333333333333,0.06666666666666667,0.0,0.13333333333333333,0.0,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.040983606557377046,0.06557377049180328,0.03278688524590164,0.040983606557377046,0.00819672131147541,0.03278688524590164,0.07377049180327869,0.09836065573770492,0.02459016393442623,0.06557377049180328,0.07377049180327869,0.09016393442622951,0.03278688524590164,0.05737704918032787,0.04918032786885246,0.05737704918032787,0.02459016393442623,0.01639344262295082,0.01639344262295082,0.09836065573770492,0.4666666666666667,0.4666666666666667,0.4016393442622951,0.13333333333333333,0.06666666666666667,0.14754098360655737,0.13333333333333333,0.13333333333333333,0.18032786885245902,0.13333333333333333,0.26666666666666666,0.11475409836065574,0.13333333333333333,0.06666666666666667,0.1557377049180328,-0.06666666666666667,-0.06666666666666667,-0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,-0.06666666666666667,0.06666666666666667,-0.13333333333333333,0.0,0.0,-0.06666666666666667,-0.06666666666666667,-0.06666666666666667,0.06666666666666667,-0.06666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333
O43293|CHEMBL2468|Death-associated,454,32,43,16,21,3,16,57,25,10,28,50,32,6,20,12,29,18,3,12,21,0.06666666666666667,0.06666666666666667,0.0,0.044444444444444446,0.022222222222222223,0.06666666666666667,0.13333333333333333,0.1111111111111111,0.022222222222222223,0.044444444444444446,0.022222222222222223,0.1111111111111111,0.044444444444444446,0.06666666666666667,0.0,0.044444444444444446,0.044444444444444446,0.0,0.044444444444444446,0.044444444444444446,0.08888888888888889,0.15555555555555556,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.08888888888888889,0.13333333333333333,0.044444444444444446,0.0,0.0,0.13333333333333333,0.06666666666666667,0.022222222222222223,0.044444444444444446,0.0,0.044444444444444446,0.0,0.0,0.022222222222222223,0.08888888888888889,0.06868131868131869,0.09065934065934066,0.04120879120879121,0.04945054945054945,0.0027472527472527475,0.024725274725274724,0.12362637362637363,0.04945054945054945,0.024725274725274724,0.07142857142857142,0.11813186813186813,0.06593406593406594,0.008241758241758242,0.04120879120879121,0.03296703296703297,0.06868131868131869,0.04395604395604396,0.008241758241758242,0.024725274725274724,0.04120879120879121,0.3333333333333333,0.4,0.38186813186813184,0.15555555555555556,0.15555555555555556,0.17857142857142858,0.2,0.2222222222222222,0.1813186813186813,0.17777777777777778,0.15555555555555556,0.17307692307692307,0.13333333333333333,0.06666666666666667,0.08516483516483517,0.022222222222222227,0.08888888888888889,0.022222222222222223,-0.022222222222222223,0.0,0.022222222222222227,0.0,-0.06666666666666665,-0.022222222222222223,-0.044444444444444446,0.1111111111111111,-0.04444444444444444,-0.022222222222222223,-0.02222222222222222,0.0,0.0,-0.044444444444444446,0.0,-0.022222222222222223,0.044444444444444446
Q9BZX2|CHEMBL2469|Uridine-cytidine,261,14,15,10,17,3,20,16,17,5,16,23,16,2,13,11,20,14,0,8,21,0.038461538461538464,0.0,0.07692307692307693,0.038461538461538464,0.0,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.0,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.07692307692307693,0.038461538461538464,0.0,0.0,0.038461538461538464,0.038461538461538464,0.15384615384615385,0.07692307692307693,0.0,0.038461538461538464,0.07692307692307693,0.038461538461538464,0.07692307692307693,0.038461538461538464,0.0,0.038461538461538464,0.038461538461538464,0.0,0.0,0.07692307692307693,0.19230769230769232,0.07692307692307693,0.0,0.038461538461538464,0.0,0.05741626794258373,0.05263157894736842,0.028708133971291867,0.07655502392344497,0.009569377990430622,0.06698564593301436,0.06220095693779904,0.05263157894736842,0.014354066985645933,0.07177033492822966,0.09569377990430622,0.07177033492822966,0.004784688995215311,0.05741626794258373,0.03349282296650718,0.06220095693779904,0.05263157894736842,0.0,0.03349282296650718,0.09569377990430622,0.2692307692307692,0.11538461538461539,0.41626794258373206,0.34615384615384615,0.4230769230769231,0.21052631578947367,0.038461538461538464,0.23076923076923078,0.13875598086124402,0.11538461538461539,0.038461538461538464,0.13875598086124402,0.23076923076923078,0.19230769230769232,0.09569377990430622,0.0,0.15384615384615385,0.0,-0.038461538461538464,0.038461538461538464,-0.07692307692307693,-0.038461538461538464,-0.07692307692307693,0.0,-0.038461538461538464,-0.038461538461538464,0.038461538461538464,-0.038461538461538464,-0.038461538461538464,0.0,0.11538461538461539,0.038461538461538464,0.0,0.038461538461538464,-0.038461538461538464
P78527|CHEMBL3142|DNA-dependent,4128,270,215,153,209,87,188,296,187,90,199,530,276,118,196,187,327,183,49,118,250,0.07766990291262135,0.050970873786407765,0.038834951456310676,0.03640776699029126,0.03155339805825243,0.0412621359223301,0.06796116504854369,0.05339805825242718,0.012135922330097087,0.04854368932038835,0.14320388349514562,0.07766990291262135,0.02912621359223301,0.05825242718446602,0.02912621359223301,0.07524271844660194,0.038834951456310676,0.0024271844660194173,0.02669902912621359,0.06067961165048544,0.07766990291262135,0.07281553398058252,0.03398058252427184,0.04854368932038835,0.014563106796116505,0.038834951456310676,0.06796116504854369,0.06310679611650485,0.02669902912621359,0.04854368932038835,0.09951456310679611,0.05825242718446602,0.04611650485436893,0.043689320388349516,0.04854368932038835,0.05825242718446602,0.050970873786407765,0.021844660194174758,0.021844660194174758,0.05825242718446602,0.06234866828087167,0.04963680387409201,0.03722760290556901,0.0526634382566586,0.020581113801452784,0.04691283292978208,0.07263922518159806,0.04207021791767555,0.022397094430992737,0.04812348668280872,0.1301452784503632,0.06658595641646489,0.0263317191283293,0.046610169491525424,0.04691283292978208,0.08232445520581114,0.04418886198547216,0.011803874092009685,0.029661016949152543,0.06083535108958838,0.44660194174757284,0.4174757281553398,0.4158595641646489,0.1941747572815534,0.1820388349514563,0.2106537530266344,0.1407766990291262,0.15776699029126215,0.13861985472154964,0.10436893203883495,0.11650485436893204,0.12530266343825666,0.11407766990291263,0.1262135922330097,0.10956416464891042,0.0,0.021844660194174755,-0.004854368932038833,0.012135922330097089,-0.01699029126213592,-0.0024271844660194233,0.0,0.009708737864077673,0.014563106796116504,0.0,-0.04368932038834951,-0.01941747572815533,0.01699029126213592,-0.014563106796116505,0.019417475728155338,-0.016990291262135915,0.012135922330097089,0.01941747572815534,-0.004854368932038833,-0.0024271844660194164
P27707|CHEMBL2447|Deoxycytidine,260,11,12,13,11,6,13,28,10,5,13,27,17,6,12,10,20,15,7,12,12,0.07692307692307693,0.07692307692307693,0.0,0.0,0.038461538461538464,0.0,0.038461538461538464,0.038461538461538464,0.0,0.11538461538461539,0.0,0.11538461538461539,0.038461538461538464,0.038461538461538464,0.11538461538461539,0.23076923076923078,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.11538461538461539,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.15384615384615385,0.15384615384615385,0.0,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.0,0.038461538461538464,0.11538461538461539,0.04326923076923077,0.04807692307692308,0.057692307692307696,0.038461538461538464,0.02403846153846154,0.0625,0.11057692307692307,0.04326923076923077,0.02403846153846154,0.04807692307692308,0.11057692307692307,0.04807692307692308,0.02403846153846154,0.04326923076923077,0.03365384615384615,0.057692307692307696,0.052884615384615384,0.03365384615384615,0.052884615384615384,0.04326923076923077,0.2692307692307692,0.38461538461538464,0.39903846153846156,0.3076923076923077,0.19230769230769232,0.23076923076923078,0.19230769230769232,0.15384615384615385,0.1201923076923077,0.038461538461538464,0.2692307692307692,0.14903846153846154,0.19230769230769232,0.0,0.10096153846153846,-0.07692307692307693,-0.07692307692307693,0.038461538461538464,0.11538461538461539,-0.038461538461538464,0.0,0.11538461538461539,-0.038461538461538464,0.0,-0.11538461538461539,0.15384615384615385,0.038461538461538464,-0.038461538461538464,0.038461538461538464,-0.11538461538461539,-0.15384615384615385,0.0,0.0,0.038461538461538464,0.11538461538461539
Q15759|CHEMBL3961|MAP,364,28,23,9,19,4,18,31,19,10,18,42,17,9,10,23,25,13,5,16,25,0.05555555555555555,0.1111111111111111,0.027777777777777776,0.0,0.0,0.08333333333333333,0.05555555555555555,0.16666666666666666,0.0,0.0,0.08333333333333333,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.08333333333333333,0.05555555555555555,0.027777777777777776,0.027777777777777776,0.05555555555555555,0.08333333333333333,0.027777777777777776,0.027777777777777776,0.0,0.0,0.0,0.05555555555555555,0.2222222222222222,0.027777777777777776,0.0,0.027777777777777776,0.1111111111111111,0.1111111111111111,0.0,0.027777777777777776,0.16666666666666666,0.05555555555555555,0.05555555555555555,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.08561643835616438,0.06164383561643835,0.0273972602739726,0.06506849315068493,0.0136986301369863,0.04452054794520548,0.07191780821917808,0.0410958904109589,0.03424657534246575,0.05821917808219178,0.11986301369863013,0.0410958904109589,0.0273972602739726,0.0273972602739726,0.04794520547945205,0.07191780821917808,0.03424657534246575,0.010273972602739725,0.04452054794520548,0.07191780821917808,0.3611111111111111,0.2777777777777778,0.4452054794520548,0.19444444444444445,0.16666666666666666,0.1780821917808219,0.1388888888888889,0.1388888888888889,0.136986301369863,0.05555555555555555,0.2222222222222222,0.136986301369863,0.25,0.19444444444444445,0.10273972602739725,-0.027777777777777776,-0.08333333333333333,-0.027777777777777776,0.0,0.0,-0.027777777777777776,0.16666666666666666,-0.1388888888888889,0.0,0.027777777777777776,0.027777777777777776,0.08333333333333333,-0.027777777777777776,0.0,0.08333333333333333,0.0,0.027777777777777776,0.0,-0.027777777777777776,-0.05555555555555555
